Date,Open,High,Low,Close,S_3,S_15,S_60,Corr,Std_U,Std_D,OD,OL
2016-08-19,128.080002,128.669998,127.860001,127.970001,128.69333399999996,128.56599933333334,125.06783316666666,-0.4650360210175118,0.5899959999999851,0.22000100000001055,-0.8099969999999814,-1.0299990000000037
2016-08-22,127.629997,127.919998,127.449997,127.779999,128.5266673333333,128.49866633333335,125.2509998,-0.3911185624382317,0.29000100000000373,0.18000000000000682,-0.45000500000000443,-0.3400039999999933
2016-08-23,128.139999,128.220001,127.610001,127.760002,128.286667,128.4026662,125.43766641666667,-0.2380491488705735,0.08000200000000746,0.529997999999992,0.5100019999999859,0.3599999999999852
2016-08-24,126.919998,126.970001,126.300003,126.339996,127.83666733333331,128.23533273333334,125.63999973333334,-0.25672887691315016,0.050002999999989584,0.619995000000003,-1.2200009999999821,-0.8400039999999933
2016-08-25,125.980003,126.309998,125.959999,126.230003,127.29333233333331,128.01466620000002,125.81133303333333,0.1170491310234864,0.3299949999999967,0.020004000000000133,-0.9399950000000104,-0.3599930000000029
2016-08-26,126.879997,128.110001,125.82,126.050003,126.77666699999997,127.77200006666666,125.98283305,0.4317382392768288,1.230004000000008,1.0599970000000098,0.8999940000000066,0.6499940000000066
2016-08-29,126.0,126.480003,125.93,126.300003,126.20666733333331,127.67200006666667,126.15583313333333,0.6291726772722239,0.4800029999999964,0.06999999999999318,-0.879997000000003,-0.050003000000003794
2016-08-30,125.730003,125.949997,124.879997,125.029999,126.19333633333332,127.59600013333333,126.2794999,0.677101292915746,0.2199939999999998,0.8500059999999934,-0.2699970000000036,-0.5700000000000074
2016-08-31,124.730003,125.110001,124.639999,124.779999,125.79333499999997,127.4006668,126.38133324999998,0.810872452508555,0.3799980000000005,0.09000399999999331,-1.0,-0.29999600000000726
2016-09-01,124.669998,125.510002,124.550003,125.290001,125.37000033333332,127.14866686666667,126.48066656666667,0.877127293792201,0.8400039999999933,0.11999500000000296,-0.06000499999998965,-0.1100009999999969
2016-09-02,126.290001,126.57,125.580002,126.57,125.03333299999997,126.99000040000001,126.55916655000001,0.916581999398291,0.27999899999998945,0.7099990000000105,1.620002999999997,1.0
2016-09-06,127.400002,129.080002,127.269997,128.710007,125.54666666666667,126.93466693333333,126.64783321666667,0.7116808745264385,1.6800000000000068,0.13000499999999704,1.110000999999997,0.8300020000000075
2016-09-07,128.789993,128.860001,128.119995,128.270004,126.8566693333333,126.99266766666666,126.76400003333333,0.20817564566746824,0.0700080000000014,0.669998000000021,1.389991000000009,0.07998600000001943
2016-09-08,128.160004,128.520004,127.400002,127.589996,127.85000366666664,126.97933453333333,126.85783345,0.06427323764974346,0.36000000000001364,0.7600019999999859,-0.6299890000000232,-0.11000000000001364
2016-09-09,127.239998,127.510002,126.699997,126.75,128.1900023333333,126.9186676,126.93816676666667,0.2416550368966933,0.27000400000000013,0.5400010000000037,-0.9200059999999866,-0.34999799999999937
2016-09-12,126.309998,126.919998,125.970001,126.589996,127.53666666666665,126.76133420000001,126.98933343333333,0.2652735256410712,0.6100000000000136,0.3399969999999968,-0.9300000000000068,-0.4400020000000069
2016-09-13,126.470001,126.599998,125.529999,125.75,126.97666399999999,126.66933386666666,127.05950008333333,0.26967299624196067,0.12999700000000303,0.9400019999999927,0.16000300000000323,-0.11999500000000296
2016-09-14,126.099998,126.540001,126.029999,126.18,126.36333199999997,126.5340006,127.08950013333333,0.22846590143034498,0.44000300000000436,0.0699989999999957,-0.370002999999997,0.34999799999999937
2016-09-15,125.730003,126.099998,124.910004,125.370003,126.173332,126.42866713333335,127.13900015,0.20914549389236758,0.36999500000000296,0.8199989999999957,-0.36999500000000296,-0.4499970000000104
2016-09-16,124.809998,125.25,124.669998,125.059998,125.76666766666665,126.36400093333333,127.21450026666666,0.1451683283781022,0.4400020000000069,0.13999999999998636,-0.9200050000000033,-0.5600050000000039
2016-09-19,125.610001,125.620003,125.25,125.32,125.53666699999998,126.28600060000001,127.28383353333334,0.11460765670450443,0.010002000000000066,0.3600009999999969,0.8000030000000038,0.5500030000000038
2016-09-20,125.309998,125.589996,125.169998,125.440002,125.25000033333332,126.23733373333333,127.37066684999999,0.24089511258973784,0.2799980000000062,0.13999999999998636,-0.3000030000000038,-0.010002000000000066
2016-09-21,126.330002,127.419998,125.959999,127.269997,125.27333333333331,126.18000033333333,127.36133355,0.6866421239191327,1.0899960000000135,0.370002999999997,1.0200040000000001,0.8899999999999864
2016-09-22,127.57,128.199997,127.5,127.57,126.00999966666664,126.32933353333333,127.37116683333333,0.5302560359615818,0.629997000000003,0.06999999999999318,1.239998,0.3000029999999896
2016-09-23,127.599998,127.860001,127.43,127.650002,126.75999966666664,126.5153336,127.40866683333334,0.24525155082969344,0.26000299999999754,0.16999799999999254,0.029998000000006186,0.029998000000006186
2016-09-26,127.959999,128.039993,127.419998,127.550003,127.49666633333332,126.672667,127.43883360000001,0.2313156184051623,0.07999400000001344,0.5400009999999895,0.3600009999999969,0.30999699999999564
2016-09-27,126.860001,126.900002,126.339996,126.620003,127.59000166666665,126.73800053333333,127.45683363333333,0.3912771968535982,0.04000100000000373,0.5200049999999976,-1.0999979999999994,-0.6900020000000069
2016-09-28,126.25,126.400002,125.730003,126.220001,127.27333599999999,126.59866693333333,127.42700028333333,0.45827100549036215,0.15000200000000063,0.5199970000000036,-0.6100009999999969,-0.370002999999997
2016-09-29,125.839996,126.339996,125.540001,126.07,126.79666899999997,126.46200006666666,127.37283361666667,0.40722398989215164,0.5,0.29999499999999557,-0.4100040000000007,-0.38000499999999704
2016-09-30,126.519997,126.550003,125.239998,125.639999,126.30333466666663,126.36066699999999,127.30350035,0.3818325342400274,0.0300060000000002,1.2799990000000037,0.6800010000000043,0.4499970000000104
2016-10-03,125.32,125.459999,124.900002,125.32,125.97666666666665,126.28666693333334,127.23516691666667,0.31268760975472665,0.1399990000000031,0.41999799999999254,-1.1999970000000104,-0.3199990000000099
2016-10-04,123.160004,123.18,120.860001,120.970001,125.67666633333333,126.20200053333333,127.14850018333333,0.2515823922316181,0.01999600000000612,2.300003000000004,-2.1599959999999925,-2.1599959999999925
2016-10-05,121.330002,121.589996,120.400002,120.779999,123.97666666666665,125.88333393333332,127.00983365,0.35747755007400966,0.25999400000000605,0.9299999999999926,-1.8300020000000075,0.3600009999999969
2016-10-06,119.690002,119.980003,119.239998,119.660004,122.35666666666664,125.52333386666666,126.90366693333333,0.7803414016591601,0.2900009999999895,0.45000400000000695,-1.6399999999999864,-1.0899969999999968
2016-10-07,120.489998,120.580002,118.419998,119.739998,120.47000133333331,125.14266726666666,126.75933355000001,0.8962810443887251,0.09000399999999331,2.069999999999993,0.799995999999993,0.8299939999999992
2016-10-10,119.739998,120.419998,119.739998,120.160004,120.06000033333332,124.7880006,126.63283348333333,0.890459342290615,0.6800000000000068,0.0,-0.75,0.0
2016-10-11,119.919998,120.160004,119.529999,119.550003,119.8533353333333,124.44400086666666,126.52150028333334,0.8722604493023337,0.24000599999999395,0.3899990000000031,0.18000000000000682,-0.24000599999999395
2016-10-12,119.720001,120.07,119.290001,119.739998,119.81666833333331,124.05133426666666,126.39666698333332,0.8645419729169237,0.34999899999999684,0.4299999999999926,-0.19999700000001042,0.16999799999999254
2016-10-13,120.0,120.419998,119.800003,120.029999,119.81666833333331,123.54933433333333,126.27216696666666,0.8436255344044087,0.41999800000000675,0.1999969999999962,0.27999900000000366,0.26000200000000007
2016-10-14,119.370003,120.160004,119.290001,119.360001,119.77333333333331,123.0466676,126.18283363333333,0.8029431964391566,0.7900010000000037,0.08000199999999325,-0.629997000000003,-0.6599960000000067
2016-10-17,119.699997,119.919998,119.580002,119.68,119.70999933333331,122.49400086666668,126.05050026666666,0.7525415767981413,0.22000100000001055,0.11999500000000296,0.32999399999999923,0.3399959999999993
2016-10-18,120.080002,120.639999,119.82,120.419998,119.68999999999998,121.96933399999999,125.93933363333333,0.8288000273956089,0.5599970000000098,0.26000200000000007,0.38000499999999704,0.4000019999999864
2016-10-19,121.129997,121.459999,120.889999,121.110001,119.81999966666665,121.55600033333333,125.85516691666666,0.5104612025872427,0.33000199999999325,0.23999799999999993,1.0499950000000098,0.7099989999999963
2016-10-20,121.389999,121.589996,120.629997,120.739998,120.40333299999998,121.21533366666668,125.77366693333333,-0.21917501189798502,0.1999969999999962,0.7600020000000001,0.26000200000000007,0.2799980000000062
2016-10-21,120.900002,120.93,120.550003,120.830002,120.75666566666665,120.8600002,125.65216691666666,0.16565031855965692,0.029998000000006186,0.34999899999999684,-0.48999700000000246,0.1600040000000007
2016-10-24,121.279999,121.300003,120.160004,120.559998,120.89333366666665,120.53933373333332,125.53833355,0.5384228115463332,0.020004000000000133,1.119995000000003,0.379997000000003,0.4499970000000104
2016-10-25,120.889999,121.760002,120.860001,121.470001,120.7099993333333,120.22200026666665,125.39800025,0.5365125444411609,0.870002999999997,0.029998000000006186,-0.39000000000000057,0.33000100000001
2016-10-26,121.370003,121.529999,120.610001,120.790001,120.95333366666664,120.25533360000001,125.26883358333333,0.6234973083480819,0.1599960000000067,0.7600020000000001,0.4800039999999939,-0.09999799999999937
2016-10-27,121.110001,121.18,120.75,121.010002,120.93999999999998,120.25600039999999,125.11083353333333,0.5954026415570935,0.06999900000000991,0.3600009999999969,-0.26000200000000007,0.3199999999999932
2016-10-28,121.199997,122.480003,120.809998,121.580002,121.09000133333332,120.34600026666666,124.96683366666666,0.5940349472240343,1.2800060000000002,0.3899990000000031,0.0899959999999993,0.18999499999999614
2016-10-31,121.510002,122.0,121.230003,121.940002,121.12666833333331,120.4686672,124.82866711666665,0.5870946049201681,0.48999799999999993,0.27999900000000366,0.31000500000000386,-0.06999999999999318
2016-11-01,122.800003,123.209999,122.57,122.730003,121.51000199999999,120.58733373333334,124.7351671,0.4868441080344385,0.4099959999999925,0.23000300000001062,1.2900010000000037,0.8600009999999969
2016-11-02,123.760002,124.760002,123.559998,123.639999,122.08333566666664,120.79933373333333,124.65666711666667,0.5602726899475047,1.0,0.20000400000000695,0.9599989999999963,1.0299990000000037
2016-11-03,123.360001,124.330002,123.349998,124.300003,122.77000133333331,121.0593338,124.58466711666667,0.9054969296023192,0.9700009999999963,0.010002999999997542,-0.40000100000000316,-0.2799980000000062
2016-11-04,124.400002,124.540001,124.040001,124.389999,123.55666833333332,121.34400073333333,124.5136672,0.9452532594955987,0.1399990000000031,0.3600009999999969,1.0400010000000037,0.09999899999999684
2016-11-07,122.660004,122.709999,121.879997,122.150002,124.1100003333333,121.67933393333333,124.45900055,0.926747859204799,0.04999499999999557,0.7800069999999977,-1.739998,-1.7299950000000024
2016-11-08,122.120003,123.089996,121.360001,121.639999,123.61333466666666,121.84400073333335,124.37150055000001,0.6653334836890094,0.9699930000000023,0.7600020000000001,-0.5400010000000037,-0.02999900000000366
2016-11-09,124.300003,124.349998,121.110001,121.559998,122.72666666666665,121.92533413333334,124.26816726666668,0.4837303301737663,0.04999499999999557,3.190002000000007,2.180000000000007,2.6600040000000007
2016-11-10,121.519997,121.540001,119.379997,119.75,121.78333299999998,121.95533393333334,124.15300054999999,0.34610982458809136,0.020004000000000133,2.1400000000000006,-2.780006,-0.04000099999998952
2016-11-11,119.650002,119.690002,116.230003,117.099998,120.98333233333331,121.88933406666666,124.00716721666666,0.2863324552268184,0.04000000000000625,3.4199990000000042,-1.869995000000003,-0.09999799999999937
2016-11-14,116.120003,117.139999,115.489998,116.110001,119.46999866666664,121.64066713333334,123.80700049999999,0.48462442530487043,1.0199960000000061,0.630004999999997,-3.5299990000000037,-0.9799950000000024
2016-11-15,116.459999,117.239998,116.290001,117.120003,117.65333299999998,121.34400066666667,123.60933383333332,0.7415022191959924,0.7799990000000037,0.16999799999999254,0.3399959999999993,0.34999799999999937
2016-11-16,117.269997,117.269997,116.580002,116.769997,116.77666733333331,121.0540008,123.43166723333333,0.7984150847407397,0.0,0.6899950000000104,0.8099980000000073,0.14999400000000662
